,-10.0,-9.8,-9.6,-9.4,-9.2,-9.0,-8.8,-8.6,-8.4,-8.2,-8.0,-7.8,-7.6,-7.4,-7.2,-7.0,-6.8,-6.6,-6.4,-6.2,-6.0,-5.8,-5.6,-5.4,-5.2,-5.0,-4.8,-4.6,-4.4,-4.2,-4.0,-3.8,-3.6,-3.4,-3.2,-3.0,-2.8,-2.6,-2.4,-2.2,-2.0,-1.8,-1.6,-1.4,-1.2,-1.0,-0.8,-0.6,-0.4,-0.2,0.0,0.2,0.4,0.6,0.8,1.0,1.2,1.4,1.6,1.8,2.0,2.2,2.4,2.6,2.8,3.0,3.2,3.4,3.6,3.8,4.0,4.2,4.4,4.6,4.8,5.0,5.2,5.4,5.6,5.8,6.0,6.2,6.4,6.6,6.8,7.0,7.2,7.4,7.6,7.8,8.0,8.2,8.4,8.6,8.8,9.0,9.2,9.4,9.6,9.8,10.0
-10.0,0.17953,0.17954,0.17955,0.17957,0.17959,0.17961,0.17964,0.17968,0.17972,0.17977,0.17984,0.17992,0.18002,0.18014,0.18028,0.18046,0.18068,0.18095,0.18128,0.18167,0.18216,0.18276,0.18349,0.18438,0.18548,0.18682,0.18846,0.19047,0.19295,0.19598,0.19971,0.2043,0.20996,0.21692,0.22552,0.23612,0.24918,0.26523,0.28485,0.30862,0.33703,0.37025,0.40795,0.44897,0.49126,0.53196,0.56793,0.59631,0.61502,0.62301,0.62008,0.60685,0.58459,0.5552,0.52102,0.48452,0.44803,0.41336,0.38172,0.35374,0.32956,0.30902,0.2918,0.27747,0.26562,0.25587,0.24786,0.24129,0.23591,0.2315,0.2279,0.22495,0.22253,0.22056,0.21894,0.21762,0.21654,0.21565,0.21493,0.21434,0.21385,0.21345,0.21313,0.21286,0.21264,0.21247,0.21232,0.2122,0.2121,0.21202,0.21196,0.2119,0.21186,0.21182,0.21179,0.21177,0.21175,0.21173,0.21172,0.21171,0.2117
-9.8,0.17954,0.17955,0.17956,0.17958,0.1796,0.17962,0.17965,0.17969,0.17973,0.17978,0.17985,0.17993,0.18003,0.18015,0.1803,0.18047,0.18069,0.18096,0.18129,0.18169,0.18217,0.18277,0.1835,0.1844,0.18549,0.18683,0.18847,0.19049,0.19296,0.19599,0.19972,0.20431,0.20997,0.21694,0.22553,0.23613,0.24919,0.26524,0.28486,0.30864,0.33705,0.37027,0.40797,0.44899,0.49128,0.53198,0.56795,0.59632,0.61504,0.62302,0.6201,0.60686,0.58461,0.55522,0.52103,0.48454,0.44804,0.41337,0.38173,0.35375,0.32957,0.30904,0.29181,0.27748,0.26564,0.25588,0.24787,0.2413,0.23592,0.23152,0.22791,0.22496,0.22255,0.22057,0.21896,0.21763,0.21655,0.21567,0.21494,0.21435,0.21386,0.21346,0.21314,0.21287,0.21266,0.21248,0.21233,0.21221,0.21211,0.21203,0.21197,0.21191,0.21187,0.21183,0.2118,0.21178,0.21176,0.21174,0.21173,0.21172,0.21171
-9.6,0.17955,0.17956,0.17958,0.17959,0.17961,0.17964,0.17966,0.1797,0.17974,0.1798,0.17986,0.17994,0.18004,0.18016,0.18031,0.18049,0.18071,0.18097,0.1813,0.1817,0.18219,0.18279,0.18352,0.18441,0.1855,0.18684,0.18849,0.1905,0.19297,0.19601,0.19974,0.20433,0.20998,0.21695,0.22555,0.23615,0.24921,0.26526,0.28488,0.30866,0.33707,0.37029,0.40799,0.44901,0.4913,0.53201,0.56797,0.59635,0.61506,0.62305,0.62012,0.60688,0.58463,0.55524,0.52105,0.48456,0.44806,0.41339,0.38175,0.35377,0.32959,0.30905,0.29183,0.2775,0.26565,0.2559,0.24789,0.24132,0.23594,0.23153,0.22792,0.22497,0.22256,0.22059,0.21897,0.21765,0.21656,0.21568,0.21495,0.21436,0.21388,0.21348,0.21315,0.21289,0.21267,0.21249,0.21234,0.21222,0.21213,0.21205,0.21198,0.21193,0.21188,0.21185,0.21182,0.21179,0.21177,0.21176,0.21174,0.21173,0.21172
-9.4,0.17957,0.17958,0.17959,0.17961,0.17963,0.17965,0.17968,0.17972,0.17976,0.17982,0.17988,0.17996,0.18006,0.18018,0.18033,0.18051,0.18072,0.18099,0.18132,0.18172,0.18221,0.1828,0.18353,0.18443,0.18552,0.18686,0.1885,0.19052,0.19299,0.19603,0.19976,0.20435,0.21,0.21697,0.22557,0.23617,0.24923,0.26528,0.28491,0.30868,0.33709,0.37032,0.40802,0.44904,0.49133,0.53204,0.568,0.59637,0.61509,0.62307,0.62014,0.60691,0.58466,0.55527,0.52108,0.48459,0.44809,0.41342,0.38178,0.35379,0.32961,0.30908,0.29185,0.27752,0.26567,0.25592,0.2479,0.24133,0.23595,0.23155,0.22794,0.22499,0.22258,0.2206,0.21899,0.21766,0.21658,0.2157,0.21497,0.21438,0.21389,0.21349,0.21317,0.2129,0.21268,0.21251,0.21236,0.21224,0.21214,0.21206,0.212,0.21194,0.2119,0.21186,0.21183,0.21181,0.21179,0.21177,0.21176,0.21175,0.21174
-9.2,0.17959,0.1796,0.17961,0.17963,0.17965,0.17967,0.1797,0.17974,0.17978,0.17984,0.1799,0.17998,0.18008,0.1802,0.18035,0.18053,0.18075,0.18101,0.18134,0.18174,0.18223,0.18282,0.18355,0.18445,0.18554,0.18688,0.18853,0.19054,0.19301,0.19605,0.19978,0.20437,0.21003,0.217,0.22559,0.2362,0.24926,0.26531,0.28493,0.30871,0.33712,0.37035,0.40805,0.44908,0.49136,0.53207,0.56803,0.59641,0.61512,0.6231,0.62018,0.60694,0.58469,0.5553,0.52111,0.48462,0.44812,0.41345,0.38181,0.35382,0.32964,0.3091,0.29187,0.27754,0.2657,0.25594,0.24793,0.24136,0.23597,0.23157,0.22796,0.22501,0.2226,0.22062,0.21901,0.21768,0.2166,0.21572,0.21499,0.2144,0.21391,0.21351,0.21319,0.21292,0.2127,0.21253,0.21238,0.21226,0.21216,0.21208,0.21202,0.21196,0.21192,0.21188,0.21185,0.21183,0.21181,0.21179,0.21178,0.21177,0.21176
-9.0,0.17961,0.17963,0.17964,0.17965,0.17967,0.1797,0.17973,0.17976,0.17981,0.17986,0.17993,0.18001,0.18011,0.18023,0.18037,0.18055,0.18077,0.18104,0.18136,0.18176,0.18225,0.18285,0.18358,0.18447,0.18557,0.18691,0.18855,0.19057,0.19304,0.19608,0.19981,0.2044,0.21006,0.21703,0.22562,0.23623,0.24929,0.26534,0.28497,0.30875,0.33716,0.37039,0.40809,0.44912,0.49141,0.53211,0.56808,0.59645,0.61516,0.62314,0.62021,0.60698,0.58473,0.55534,0.52115,0.48466,0.44816,0.41348,0.38184,0.35385,0.32967,0.30913,0.2919,0.27757,0.26572,0.25597,0.24795,0.24138,0.236,0.23159,0.22799,0.22504,0.22262,0.22065,0.21903,0.21771,0.21663,0.21574,0.21502,0.21442,0.21394,0.21354,0.21321,0.21295,0.21273,0.21255,0.2124,0.21228,0.21219,0.21211,0.21204,0.21199,0.21194,0.21191,0.21188,0.21185,0.21183,0.21182,0.2118,0.21179,0.21178
-8.8,0.17965,0.17966,0.17967,0.17969,0.17971,0.17973,0.17976,0.1798,0.17984,0.17989,0.17996,0.18004,0.18014,0.18026,0.1804,0.18058,0.1808,0.18107,0.1814,0.1818,0.18228,0.18288,0.18361,0.18451,0.1856,0.18694,0.18858,0.1906,0.19307,0.19611,0.19984,0.20443,0.21009,0.21706,0.22566,0.23627,0.24933,0.26539,0.28501,0.3088,0.33721,0.37044,0.40814,0.44917,0.49146,0.53216,0.56813,0.59649,0.61521,0.62319,0.62026,0.60703,0.58477,0.55539,0.5212,0.4847,0.4482,0.41353,0.38189,0.3539,0.32971,0.30917,0.29194,0.27761,0.26576,0.256,0.24799,0.24142,0.23603,0.23163,0.22802,0.22507,0.22265,0.22068,0.21906,0.21774,0.21666,0.21577,0.21505,0.21445,0.21397,0.21357,0.21324,0.21298,0.21276,0.21258,0.21243,0.21231,0.21222,0.21214,0.21207,0.21202,0.21197,0.21194,0.21191,0.21188,0.21186,0.21185,0.21183,0.21182,0.21181
-8.6,0.17968,0.17969,0.17971,0.17972,0.17974,0.17977,0.1798,0.17983,0.17988,0.17993,0.18,0.18008,0.18018,0.1803,0.18044,0.18062,0.18084,0.18111,0.18143,0.18183,0.18232,0.18292,0.18365,0.18455,0.18564,0.18698,0.18862,0.19064,0.19311,0.19615,0.19988,0.20448,0.21013,0.21711,0.22571,0.23631,0.24938,0.26544,0.28507,0.30885,0.33727,0.3705,0.40821,0.44923,0.49152,0.53223,0.56819,0.59655,0.61527,0.62325,0.62032,0.60708,0.58483,0.55544,0.52126,0.48476,0.44826,0.41358,0.38194,0.35395,0.32976,0.30922,0.29199,0.27765,0.2658,0.25604,0.24803,0.24146,0.23607,0.23166,0.22806,0.22511,0.22269,0.22071,0.2191,0.21778,0.21669,0.21581,0.21508,0.21449,0.214,0.2136,0.21328,0.21301,0.21279,0.21262,0.21247,0.21235,0.21225,0.21217,0.21211,0.21205,0.21201,0.21197,0.21194,0.21192,0.2119,0.21188,0.21187,0.21186,0.21185
-8.4,0.17973,0.17974,0.17975,0.17977,0.17979,0.17981,0.17984,0.17988,0.17992,0.17998,0.18004,0.18012,0.18022,0.18034,0.18049,0.18067,0.18089,0.18115,0.18148,0.18188,0.18237,0.18297,0.1837,0.18459,0.18569,0.18703,0.18867,0.19069,0.19316,0.1962,0.19993,0.20453,0.21019,0.21716,0.22576,0.23637,0.24944,0.2655,0.28513,0.30892,0.33734,0.37058,0.40828,0.44931,0.4916,0.5323,0.56826,0.59663,0.61534,0.62332,0.62039,0.60715,0.5849,0.55551,0.52133,0.48483,0.44833,0.41365,0.382,0.35401,0.32982,0.30928,0.29204,0.27771,0.26585,0.25609,0.24808,0.2415,0.23612,0.23171,0.2281,0.22515,0.22274,0.22076,0.21914,0.21782,0.21674,0.21585,0.21513,0.21453,0.21405,0.21365,0.21332,0.21306,0.21284,0.21266,0.21251,0.21239,0.2123,0.21222,0.21215,0.2121,0.21205,0.21202,0.21199,0.21196,0.21194,0.21193,0.21191,0.2119,0.21189
