A,18.57,18.47
AA,7.6,7.48
AAPL,99.11,99.16
ABC,37.69,37.35
ABI,32.37,32.86
ABK,11.25,12.41
ABT,56.07,54.94
ACAS,2.7,2.25
ACE,52.73,52.75
ACS,48.85,48.56
ADBE,20.96,21.1
ADI,21.03,21.38
ADM,28.48,28.56
ADP,37.86,37.17
ADSK,17.62,17.56
AEE,32.29,32.0
AEP,31.47,31.81
AES,7.86,7.74
AET,33.05,32.11
AFL,22.12,20.51
AGN,42.54,43.68
AIG,0.9,0.85
AIV,6.39,5.87
AIZ,25.63,25.04
AKAM,17.8,17.72
ALL,21.39,21.23
ALTR,15.7,16.01
AMAT,9.43,9.51
AMD,2.3,2.42
AMGN,58.38,57.9
AMP,20.75,20.46
AMT,28.89,28.85
AMZN,63.96,63.26
AN,10.97,10.68
ANF,22.13,22.78
AOC,41.15,40.09
APA,72.63,73.3
APC,39.3,39.91
APD,54.3,54.03
APOL,81.67,81.45
ASH,46.29,46.43
ATI,24.31,24.91
AVB,47.08,44.26
AVP,22.06,21.37
AVY,23.4,22.75
AW,10.66,10.77
AXP,16.05,15.74
AYE,28.4,28.22
AZO,139.1,136.7
BA,39.89,40.48
BAC,5.68,5.57
BAX,58.87,58.74
BBBY,22.41,22.01
BBT,16.39,15.33
BBY,30.13,30.35
BC,16.47,16.89
BCR,86.52,86.98
BDK,28.47,28.04
BDX,71.35,70.64
BEN,54.25,55.32
BF.B,44.68,44.2
BHI,33.32,33.26
BIG,15.24,14.7
BIIB,52.69,52.42
BJS,10.84,11.02
BK,26.01,25.26
BLL,41.82,41.75
BMC,29.85,29.66
BMS,21.48,20.88
BMY,22.17,21.75
BNI,66.48,66.04
BRCM,17.75,18.1
BRL,49.13,49.21
BSC,84.11,86.72
BSX,8.75,8.66
BTU,28.18,28.25
BUD,47.74,47.7
BXP,42.99,41.22
C,3.52,3.49
CA,18.66,18.65
CAG,16.49,16.22
CAH,38.34,38.1
CAM,21.6,21.8
CAT,31.41,30.94
CB,42.9,41.52
CBE,27.49,26.86
CBG,4.0,3.76
CBH,37.67,38.01
CBS,5.87,5.81
CC,4.76,4.87
CCE,13.07,13.4
CCL,21.07,20.87
CCU,31.35,32.14
CEG,25.23,25.14
CELG,53.3,52.31
CFC,6.85,6.96
CHK,18.3,18.6
CHRW,47.46,47.3
CI,21.48,21.3
CIEN,6.32,6.37
CINF,23.33,22.7
CIT,2.96,2.84
CL,63.23,63.13
CLX,52.25,51.98
CMA,16.31,15.49
CMCSA,13.78,13.66
CME,192.55,190.63
CMI,24.88,24.62
CMS,11.51,11.46
CNP,13.1,13.13
CNX,31.27,31.53
COF,12.23,12.11
COH,14.2,13.97
COL,36.2,37.16
COP,46.26,45.67
COST,44.25,42.76
COV,39.24,38.13
CPB,30.76,30.88
CPWR,6.37,6.46
CSC,39.71,39.58
CSCO,16.2,16.1
CSX,29.27,29.22
CTAS,22.95,22.93
CTL,27.1,26.92
CTSH,21.75,21.17
CTX,8.69,8.54
CTXS,23.44,23.28
CVG,7.8,7.59
CVH,16.33,16.18
CVS,28.04,27.47
CVX,69.71,69.73
CZN,11.07,11.49
D,34.85,34.54
DD,22.91,22.4
DDR,3.68,3.44
DDS,16.07,16.26
DE,37.56,36.11
DELL,9.19,9.12
DF,19.95,20.07
DFS,7.08,7.01
DGX,51.25,52.03
DHI,8.41,8.96
DHR,56.0775,56.38
DIS,18.72,18.52
DOV,29.63,29.69
DOW,9.98,9.53
DRI,29.0,29.32
DTE,32.79,32.63
DTV,23.47,23.24
DUK,14.87,14.74
DVN,51.64,52.64
DYN,1.77,1.84
EBAY,13.41,13.19
ECL,32.09,32.88
ED,39.85,39.37
EDS,18.75,19.05
EFX,23.55,23.2
EIX,31.15,31.2
EK,4.19,4.05
EL,27.44,26.89
EMC,11.89,12.06
EMN,25.03,24.79
EMR,32.3,32.02
EOG,64.6,63.72
EP,8.82,9.1
EQ,35.84,35.6
EQR,21.77,21.05
ERTS,17.05,16.93
ESRX,56.61,57.88
ESV,26.56,27.01
ETFC,1.2,1.14
ETN,43.88,43.8
ETR,69.62,69.98
EXC,53.49,53.69
EXPD,31.53,31.4
EXPE,9.14,9.17
F,1.82,1.76
FCX,29.64,30.51
FDO,27.26,26.61
FDX,52.21,51.81
FE,51.65,51.36
FHN,9.34,9.2
FII,21.08,21.52
FIS,18.33,18.29
FISV,35.22,35.27
FITB,2.13,2.0
FLR,42.38,42.02
FNM,28.0,28.27
FO,31.41,30.77
FPL,50.35,50.91
FRE,25.53,26.18
FRX,25.94,25.84
GAS,34.2,34.18
GCI,4.53,4.19
GD,53.8,54.49
GE,11.55,11.44
GENZ,73.22,72.59
GGP,34.8,37.37
GILD,50.57,50.25
GIS,57.73,56.84
GLW,11.31,11.56
GM,2.7,2.5
GME,26.82,26.25
GNW,2.39,2.33
GOOG,362.56,357.68
GPC,33.26,33.15
GPS,11.53,11.62
GR,39.34,39.78
GS,95.0,96.45
GT,6.81,6.92
GWW,73.45,74.17
HAL,18.13,18.29
HAR,12.75,12.0
HAS,24.05,23.8
HBAN,1.79,1.69
HCBK,12.16,11.85
HD,21.78,21.22
HES,56.78,58.41
HIG,12.75,12.46
HNZ,35.0,34.46
HOG,12.22,12.3
HON,31.99,33.06
HOT,13.37,12.63
HPC,18.13,18.74
HPQ,35.07,35.87
HRB,21.8,21.55
HSP,26.23,26.36
HST,4.6,4.38
HSY,36.64,36.87
HUM,43.75,42.75
IACI,21.6,22.06
IBM,94.79,93.84
ICE,61.16,63.12
IFF,29.24,29.19
IGT,9.79,9.39
INTC,13.92,13.88
INTU,23.28,22.97
IP,7.09,6.89
IPG,3.78,3.68
IR,16.8,17.39
ITT,42.44,43.24
ITW,34.58,35.12
JAVA,5.11,5.14
JBL,5.96,6.1
JCI,13.33,13.66
JCP,15.81,15.77
