A,29.34,30.4
AA,35.16,35.97
AAPL,151.76,153.7
ABC,39.4,39.85
ABI,29.59,30.87
ABK,5.12,5.3
ABT,52.55,51.35
ACAS,33.25,32.58
ACE,56.98,57.92
ACS,50.19,51.32
ADBE,36.1,36.42
ADI,30.55,31.44
ADM,44.58,45.2
ADP,42.75,43.31
ADSK,31.62,32.6
AEE,45.4,45.44
AEP,44.3,44.71
AES,17.51,17.87
AET,42.3,41.22
AFL,67.2,67.8
AGN,55.86,56.47
AIG,44.59,45.47
AIV,36.75,37.55
AIZ,63.49,64.87
AKAM,29.85,30.75
ALL,48.9,49.46
ALTR,18.33,19.2
AMAT,19.25,19.34
AMD,5.93,6.07
AMGN,43.31,43.41
AMP,51.16,51.5
AMT,39.32,40.01
AMZN,73.21,74.59
AN,14.95,15.15
ANF,71.38,71.27
AOC,44.91,45.45
APA,137.3,140.7
APC,66.28,68.13
APD,96.89,99.56
APOL,44.6,45.75
ASH,51.54,53.05
ATI,75.73,78.44
AVB,98.235,99.65
AVP,40.72,41.05
AVY,49.84,51.38
AW,11.6,11.75
AXP,43.89,43.75
AYE,52.91,54.86
AZO,119.09,120.46
BA,76.31,76.67
BAC,36.4,36.98
BAX,60.79,60.43
BBBY,30.0,30.54
BBT,31.72,32.6
BBY,42.04,42.79
BC,15.27,15.7
BCR,94.05,95.84
BDK,67.1,68.04
BDX,84.15,83.89
BEN,99.05,103.37
BF.B,70.99,70.99
BHI,75.79,76.89
BIG,22.31,22.55
BIIB,65.5,65.89
BJS,30.57,30.87
BK,43.02,44.0
BLL,47.8,48.61
BMC,30.69,31.89
BMS,26.24,27.07
BMY,21.6,21.98
BNI,95.62,99.3
BRCM,21.25,21.74
BRL,50.37,50.25
BSC,10.07,10.16
BSX,12.61,12.58
BTU,64.16,66.96
BUD,47.75,48.25
BXP,95.61,98.24
C,23.4,23.44
CA,21.86,22.32
CAG,24.16,24.24
CAH,51.38,51.81
CAM,48.55,49.77
CAT,76.75,79.02
CB,49.98,50.66
CBE,42.08,43.04
CBG,20.11,21.11
CBH,37.67,38.01
CBS,21.0,21.24
CC,4.76,4.87
CCE,24.25,24.07
CCL,39.92,40.81
CCU,28.33,27.5
CEG,91.44,92.99
CELG,63.58,64.78
CFC,4.89,4.99
CHK,49.73,51.03
CHRW,58.42,59.83
CI,40.37,42.64
CIEN,31.16,31.95
CINF,37.41,37.59
CIT,11.25,11.78
CL,78.82,78.29
CLX,55.4,55.25
CMA,34.11,34.55
CMCSA,19.73,19.93
CME,487.58,496.9
CMI,47.92,49.21
CMS,14.2,14.49
CNP,15.28,15.45
CNX,79.93,84.28
COF,47.24,46.25
COH,31.47,30.98
COL,61.67,62.4
COP,81.39,82.81
COST,65.85,67.24
COV,44.52,45.4
CPB,33.75,34.32
CPWR,7.8,7.85
CSC,41.83,42.5
CSCO,23.46,23.83
CSX,59.27,59.89
CTAS,28.49,28.87
CTL,31.02,31.49
CTSH,29.61,30.0
CTX,22.3,22.3
CTXS,31.02,31.59
CVG,15.36,15.85
CVH,42.38,41.84
CVS,40.09,40.15
CVX,90.33,91.93
CZN,10.18,10.39
D,43.86,44.22
DD,49.44,51.1
DDR,41.96,43.48
DDS,21.26,21.41
DE,87.25,90.18
DELL,18.55,18.72
DF,20.89,21.28
DFS,17.13,17.95
DGX,46.36,46.32
DHI,15.66,16.22
DHR,75.02,76.88
DIS,30.12,30.32
DOV,44.16,45.09
DOW,38.37,39.42
DRI,34.55,34.9
DTE,41.82,42.36
DTV,25.49,25.74
DUK,18.15,18.45
DVN,114.17,116.63
DYN,8.25,8.48
EBAY,32.0,32.12
ECL,45.73,46.97
ED,41.25,41.77
EDS,17.28,17.76
EFX,34.24,35.71
EIX,52.15,53.05
EK,18.28,18.69
EL,45.3,44.76
EMC,14.41,14.63
EMN,69.64,71.51
EMR,51.63,53.24
EOG,132.95,133.0
EP,17.99,17.98
EQ,38.93,39.2
EQR,40.86,42.29
ERTS,51.14,52.02
ESRX,64.93,67.11
ESV,65.26,67.38
ETFC,3.54,3.33
ETN,81.71,85.72
ETR,110.5,112.68
EXC,84.58,86.23
EXPD,46.36,47.62
EXPE,24.34,23.89
F,6.95,7.19
FCX,108.5,113.22
FDO,19.7,19.72
FDX,94.84,97.03
FE,74.91,75.4
FHN,12.34,12.59
FII,33.45,33.53
FIS,35.12,35.93
FISV,50.0,51.0
FITB,19.44,20.1
FLR,151.22,159.0
FNM,26.47,27.78
FO,71.09,71.31
FPL,65.49,67.34
FRE,24.66,25.8
FRX,35.51,36.52
GAS,34.58,35.41
GCI,27.57,28.36
GD,83.75,86.03
GE,32.34,32.23
GENZ,72.41,73.05
GGP,38.37,40.26
GILD,51.37,51.8
GIS,60.33,61.2
GLW,24.87,25.64
GM,19.43,19.9
GME,56.24,56.66
GNW,23.11,23.45
GOOG,444.3,455.03
GPC,41.03,42.02
GPS,18.89,18.88
GR,59.04,60.33
GS,166.15,169.05
GT,26.1,27.11
GWW,83.41,85.32
HAL,44.71,45.0
HAR,38.63,38.73
HAS,30.41,30.57
HBAN,8.95,9.96
HCBK,17.72,18.1
HD,28.05,28.02
HES,103.03,103.99
HIG,72.0,73.5
HNZ,47.25,47.22
HOG,35.86,36.79
HON,56.84,57.88
HOT,47.6,49.05
HPC,19.21,20.09
HPQ,46.5,47.1
HRB,20.81,21.18
HSP,40.45,40.79
HST,16.7,17.04
HSY,36.06,35.99
HUM,43.28,42.26
IACI,20.15,20.3
IBM,118.15,120.47
ICE,149.9,152.17
IFF,44.95,46.1
IGT,37.34,38.01
INTC,22.42,22.13
INTU,27.55,28.04
IP,27.59,28.42
IPG,7.88,8.15
IR,44.02,45.64
ITT,57.09,57.56
ITW,52.14,52.53
JAVA,14.99,15.14
JBL,10.09,10.28
JCI,33.81,34.55
JCP,39.01,38.19
JDSU,13.31,13.86
JEC,77.28,80.62
JNJ,65.79,65.7
JNPR,23.05,23.61
JNS,23.68,24.19
JNY,13.37,13.53
JPM,43.53,44.96
JWN,34.65,34.08
K,53.14,53.22
KBH,23.31,24.41
KEY,23.22,24.2
KFT,31.09,31.2
KG,8.8,8.93
KIM,38.845,40.35
KLAC,40.71,43.23
KMB,64.4,63.62
KO,61.75,61.15
KR,24.03,24.13
KSS,44.35,44.07
LEG,14.49,14.35
LEH,40.51,41.72
LEN,17.92,18.5
LH,74.1,74.0
LIZ,17.35,16.46
LLL,109.97,111.99
LLTC,32.65,32.99
LLY,52.03,52.55
LM,56.2,57.86
LMT,103.12,104.65
LNC,50.84,51.91
LOW,24.45,24.48
LSI,5.27,5.04
LTD,18.07,17.87
LTR,42.5,43.02
LUK,51.7,54.1
LUV,12.61,12.5
LXK,33.42,33.6
M,22.61,22.44
MAR,32.23,32.49
MAS,19.1,19.82
MAT,20.93,20.83
MBI,11.54,11.65
MCD,56.31,57.18
MCHP,33.78,34.67
MCK,52.59,52.69
MCO,35.9,36.45
MDP,36.65,37.29
MDT,49.34,49.62
MER,43.95,44.89
MET,61.23,62.07
MHP,37.15,38.05
MHS,44.81,45.35
MI,22.04,22.27
MIL,64.8,66.05
MKC,37.25,37.5
MMC,26.9,27.41
MMM,79.35,80.69
MNST,22.31,23.09
MO,21.58,21.67
MOLX,24.4,24.46
MON,125.7,131.54
MOT,9.09,9.2
MRK,41.49,40.31
MRO,45.91,47.67
MS,44.69,45.42
MSFT,28.53,28.95
MTB,86.36,89.85
MTG,11.52,10.5
MTW,36.41,37.09
MU,6.84,7.19
MUR,90.47,91.92
MWV,26.79,27.66
MYL,12.51,12.75
NBL,86.75,89.76
NBR,35.7,35.75
NCC,8.23,7.85
NE,54.83,55.84
NEM,46.49,47.91
NI,17.94,18.21
NKE,66.15,66.07
NOC,72.03,71.1
NOV,71.25,72.69
NOVL,6.1,6.41
NSC,58.89,60.06
NSM,20.01,20.58
NTAP,21.57,21.82
NTRS,69.87,72.28
NUE,70.39,72.61
NVDA,18.82,18.84
NVLS,21.4,22.4
NWL,22.09,22.27
NWS.A,17.5,17.63
NYT,19.33,19.5
NYX,66.2,66.78
ODP,11.02,11.35
OMC,44.84,45.29
OMX,18.98,19.32
ORCL,20.3,20.77
OXY,79.86,83.19
PAYX,35.74,36.41
PBG,34.48,34.14
PBI,34.43,34.55
PCAR,45.61,46.96
PCG,39.48,39.83
PCL,40.9,42.37
PCP,109.57,112.65
PDCO,33.2,33.58
PEG,43.45,44.19
PEP,71.68,71.11
PFE,20.83,21.1
PFG,52.78,53.82
PG,70.68,69.27
PGN,42.34,43.07
PGR,17.58,17.87
PH,73.43,75.03
PHM,14.49,14.94
PKI,24.24,24.65
PLD,61.34,64.05
PLL,36.12,37.02
PNC,63.73,65.39
PNW,36.47,36.77
POM,24.91,25.39
PPG,63.44,65.92
PPL,47.7,48.84
PRU,77.14,77.27
PSA,93.775,96.04
PTV,25.97,26.0
PX,87.27,90.82
Q,4.53,4.65
QCOM,41.59,42.26
QLGC,15.49,15.9
R,63.85,66.68
RAI,57.86,57.8
RDC,41.78,42.34
RF,20.48,20.3
RHI,23.78,24.07
RIG,150.27,152.77
RL,58.38,57.96
ROH,56.78,58.15
ROK,57.15,59.13
RRC,69.75,70.33
RRD,29.23,29.95
RSH,15.37,15.67
RTN,64.65,65.65
RX,22.62,23.33
S,6.35,6.43
SAF,45.25,46.0
SBUX,17.38,17.68
SCHW,19.96,20.08
SE,23.69,24.51
SEE,26.67,27.69
SGP,16.52,16.38
SHLD,101.3,102.22
SHW,54.11,55.71
SIAL,59.9,61.75
SII,69.47,70.7
SLB,91.99,94.8
SLE,14.25,14.24
SLM,16.85,16.26
SNA,52.1,54.64
SNDK,26.19,26.7
SO,36.73,36.95
SOV,8.5448,8.73
SPG,98.53,101.41
SPLS,22.08,22.35
SRE,55.59,56.86
SSP,41.38,42.42
STI,52.25,52.57
STJ,44.14,44.15
STR,61.175,62.92
STT,69.24,69.21
STZ,18.63,18.62
SUN,52.15,54.94
SVU,29.92,29.05
SWK,48.76,49.68
SWY,28.05,26.71
SYK,63.57,63.41
SYMC,16.97,17.12
SYY,28.0,28.09
T,37.57,37.61
TAP,54.48,54.21
TDC,20.74,21.28
TE,16.54,16.67
TEG,48.45,49.57
TEL,34.26,34.92
TER,12.4,12.61
TEX,67.05,68.54
TGT,52.93,53.63
THC,5.38,5.4
TIE,15.7,16.7
TIF,41.53,41.64
TJX,30.86,31.24
TLAB,5.61,5.72
TMK,62.0,63.08
TMO,53.81,54.86
TROW,51.53,52.48
TRV,49.03,49.38
TSN,17.67,17.87
TSO,26.25,27.99
TSS,24.31,24.76
TT,46.27,46.65
TWX,14.3,14.35
TXN,29.29,29.61
TXT,60.0,62.17
TYC,45.78,47.14
UIS,4.45,4.51
UNH,37.27,35.8
UNM,22.79,23.51
UNP,132.48,136.57
UPS,71.49,72.79
USB,32.86,33.1
UST,53.48,53.58
UTX,71.15,72.63
VAR,45.25,46.18
VFC,75.6,76.15
VIA.B,39.03,39.25
VLO,49.1,51.68
VMC,69.72,70.19
VNO,88.34,91.12
VRSN,33.34,34.15
VZ,35.48,35.85
WAG,35.72,35.78
WAT,53.76,53.98
WB,25.81,25.41
WEN,22.96,24.05
WFC,29.95,29.01
WFMI,32.05,32.43
WFR,73.5,73.81
WFT,77.11,79.27
WHR,80.68,80.87
WIN,11.97,12.08
WLP,48.86,48.22
WM,10.96,10.9
WMB,35.9,35.68
WMI,34.34,35.03
WMT,56.45,57.07
WPI,29.03,29.64
WPO,684.0,693.29
WU,20.68,21.11
WWY,62.92,62.57
WY,61.63,63.18
WYE,44.38,44.23
WYN,19.3,19.91
X,148.49,155.37
XEL,20.81,21.0
XL,29.75,29.15
XLNX,23.25,23.85
XOM,90.9,92.89
XRX,14.59,14.82
XTO,65.97,68.5
YHOO,28.13,28.31
YUM,38.18,38.39
ZION,41.9,42.53
ZMH,77.76,78.45
HCP,36.07,37.15
PM,48.41,49.46
ISRG,289.0,280.91
SWN,46.84,45.98
COG,67.75,65.03
L,48.7,49.0
LO,70.84,68.83
MEE,94.31,91.1
AKS,65.86,56.65
SNI,39.85,41.75
DVA,56.21,56.14
FTR,11.59,11.43
MA,240.47,237.27
IVZ,25.41,24.89
CF,146.93,138.02
CRM,55.75,52.37
FAST,53.45,52.4
HRS,48.0,47.14
PXD,54.51,50.92
APH,34.25,34.13
FLS,69.15,67.79
DPS,22.66,23.79
CEPH,72.01,76.09
NDAQ,32.48,31.37
PBCT,17.55,17.17
SJM,44.85,45.18
WEC,43.15,42.84
WYNN,60.74,51.59
XRAY,30.4,31.53
MWW,12.19,11.62
LIFE,22.1,23.89
SRCL,55.58,56.15
DNB,73.45,71.56
EQT,31.7,30.71
MFE,33.6,33.18
RSG,23.49,23.42
NWSA,8.42,8.75
FLIR,30.34,31.76
IRM,24.62,24.79
OI,27.29,27.27
SCG,35.65,36.37
DNR,15.97,16.77
DO,88.91,90.0
DV,53.03,52.91
FTI,46.84,47.93
HCN,42.09,43.01
HRL,37.63,37.99
NU,23.83,24.31
ORLY,38.51,38.23
PCS,8.13,8.01
PWR,22.51,23.04
RHT,22.12,22.28
TWC,34.72,35.92
VIA,25.58,26.03
VTR,38.55,39.01
WDC,33.3,32.85
ARG,45.47,46.54
CFN,23.45,23.99
CLF,36.4,36.67
FMC,52.12,52.48
FSLR,122.99,120.76
MJN,42.55,43.0
PCLN,167.94,168.01
ROP,50.96,52.13
ROST,45.21,45.54
SAI,17.99,18.28
V,78.52,79.59
AON,39.45,38.6
NRG,21.74,21.59
URBN,30.94,30.91
BRK.B,79.99,81.91
DISCA,31.19,30.89
HP,40.41,40.58
OKE,44.56,45.25
CERN,81.44,83.93
ETFCD,14.4,14.99
KMX,20.01,20.99
NEE,52.95,52.81
QEP,29.99,29.27
