A,17.53,17.64
AA,9.75,9.76
AAPL,90.0,92.47
ABC,29.68,30.17
ABI,32.37,32.86
ABK,11.25,12.41
ABT,50.92,51.97
ACAS,3.9,3.84
ACE,52.73,52.75
ACS,37.85,39.41
ADBE,21.47,22.0
ADI,16.16,16.35
ADM,25.98,26.12
ADP,37.68,38.4
ADSK,15.05,15.57
AEE,33.68,33.99
AEP,30.47,29.14
AES,7.1,7.82
AET,19.93,20.19
AFL,42.41,42.79
AGN,34.0,34.81
AIG,1.79,1.87
AIV,10.18,10.96
AIZ,19.98,19.16
AKAM,11.27,11.62
ALL,22.14,23.71
ALTR,14.22,14.4
AMAT,9.01,8.99
AMD,2.1,2.03
AMGN,55.67,54.64
AMP,15.8,17.01
AMT,25.95,27.18
AMZN,41.39,41.19
AN,8.4,9.17
ANF,16.67,16.82
AOC,43.88,43.77
APA,71.83,71.49
APC,38.46,37.7
APD,43.89,45.44
APOL,72.9,75.68
ASH,46.29,46.43
ATI,21.43,21.51
AVB,51.94,57.23
AVP,20.23,20.68
AVY,27.65,27.88
AW,9.67,9.74
AXP,20.15,20.76
AYE,32.79,33.03
AZO,102.0,108.36
BA,40.54,40.7
BAC,13.46,14.37
BAX,52.34,53.11
BBBY,18.57,19.67
BBT,26.22,27.18
BBY,19.24,19.95
BC,16.47,16.89
BCR,80.25,81.08
BDK,40.36,41.86
BDX,62.3,63.25
BEN,51.89,55.09
BF.B,43.5,44.1
BHI,29.32,29.42
BIG,15.77,16.07
BIIB,39.61,41.43
BJS,9.86,9.73
BK,25.82,27.14
BLL,33.8,34.71
BMC,23.31,23.64
BMS,24.89,25.66
BMY,19.59,20.28
BNI,73.2,73.92
BRCM,14.42,14.24
BRL,63.35,64.19
BSC,84.11,86.72
BSX,6.0,6.23
BTU,20.27,20.71
BUD,47.74,47.7
BXP,45.49,48.94
C,6.92,7.22
CA,15.24,15.88
CAG,14.26,14.11
CAH,31.44,32.1
CAM,18.8,18.9
CAT,37.3,38.0
CB,47.08,47.89
CBE,22.92,24.04
CBG,3.02,3.4
CBH,37.67,38.01
CBS,5.65,6.41
CC,4.76,4.87
CCE,9.17,8.81
CCL,20.42,20.09
CCU,31.35,32.14
CEG,24.48,25.15
CELG,48.8,50.84
CFC,6.85,6.96
CHK,15.41,14.25
CHRW,46.36,46.8
CI,11.01,11.99
CIEN,6.78,6.5
CINF,25.96,27.66
CIT,3.2,3.45
CL,62.46,62.65
CLX,57.31,57.41
CMA,19.05,19.95
CMCSA,15.75,16.0
CME,172.71,172.6
CMI,23.32,23.44
CMS,9.54,9.84
CNP,12.25,12.37
CNX,24.95,27.2
COF,27.2,29.29
COH,17.13,17.22
COL,32.3,32.75
COP,49.61,49.52
COST,48.5,50.1
COV,34.68,34.17
CPB,30.3,30.32
CPWR,5.73,5.85
CSC,25.89,27.66
CSCO,15.11,15.32
CSX,34.41,34.03
CTAS,22.69,22.43
CTL,24.83,26.02
CTSH,17.91,18.03
CTX,8.12,9.02
CTXS,23.74,25.34
CVG,5.62,5.71
CVH,11.16,11.63
CVS,27.38,27.08
CVX,73.74,75.54
CZN,11.07,11.49
D,35.45,35.59
DD,22.62,23.6
DDR,3.79,4.23
DDS,16.07,16.26
DE,31.59,31.84
DELL,10.24,10.52
DF,13.37,13.82
DFS,9.68,9.97
DGX,43.73,44.31
DHI,6.13,6.64
DHR,51.26,49.73
DIS,20.65,21.46
DOV,27.51,28.52
DOW,18.08,18.6
DRI,16.48,17.04
DTE,35.2,35.65
DTV,19.59,20.39
DUK,14.98,14.5
DVN,67.96,67.08
DYN,2.23,2.18
EBAY,12.56,13.26
ECL,34.99,35.55
ED,38.82,39.33
EDS,18.75,19.05
EFX,22.64,23.23
EIX,31.17,32.07
EK,7.19,7.29
EL,25.39,27.07
EMC,10.43,10.4
EMN,27.49,27.99
EMR,30.98,32.05
EOG,78.5,80.02
EP,6.49,6.72
EQ,29.9,31.11
EQR,25.28,28.67
ERTS,18.0,19.03
ESRX,53.26,52.82
ESV,28.77,28.66
ETFC,1.17,1.22
ETN,42.97,43.25
ETR,82.14,82.96
EXC,52.05,53.21
EXPD,31.07,31.59
EXPE,7.98,7.52
F,2.7,2.7
FCX,21.82,21.82
FDO,26.5,25.11
FDX,64.54,67.08
FE,55.81,56.0
FHN,9.28,9.93
FII,18.17,19.47
FIS,16.3,16.58
FISV,32.42,32.73
FITB,8.27,8.55
FLR,42.97,44.15
FNM,28.0,28.27
FO,35.64,36.8
FPL,45.91,45.79
FRE,25.53,26.18
FRX,21.35,22.04
GAS,36.21,36.17
GCI,8.31,8.68
GD,48.92,50.11
GE,16.14,17.61
GENZ,58.56,60.04
GGP,34.8,37.37
GILD,43.0,44.09
GIS,62.66,62.29
GLW,8.61,8.58
GM,5.02,4.85
GME,19.61,19.01
GNW,1.29,1.34
GOOG,270.73,275.11
GPC,37.19,36.75
GPS,12.35,12.23
GR,31.57,32.15
GS,63.65,65.0
GT,5.34,5.9
GWW,65.4,66.1
HAL,15.65,15.42
HAR,13.53,14.21
HAS,25.75,26.41
HBAN,7.0,7.02
HCBK,14.78,15.21
HD,21.52,21.85
HES,45.0,45.06
HIG,6.95,6.75
HNZ,37.26,37.41
HOG,15.35,15.95
HON,26.45,26.59
HOT,15.18,15.68
HPC,18.13,18.74
HPQ,33.85,34.27
HRB,16.77,18.2
HSP,28.78,28.62
HST,6.11,6.71
HSY,34.79,35.23
HUM,29.16,28.12
IACI,21.6,22.06
IBM,77.8,79.84
ICE,61.8,62.82
IFF,28.78,29.04
IGT,9.97,10.34
INTC,12.93,13.28
INTU,20.54,21.88
IP,11.31,11.65
IPG,3.88,4.28
IR,14.84,14.96
ITT,38.2,39.85
ITW,31.34,32.59
JAVA,2.9,3.25
JBL,6.34,6.13
JCI,15.68,16.9
JCP,16.78,17.38
JDSU,2.39,2.61
JEC,40.36,41.77
JNJ,56.11,56.83
JNPR,15.63,16.24
JNS,6.09,6.54
JNY,4.69,5.24
JPM,26.54,28.53
JWN,10.79,11.03
K,41.43,41.41
KBH,10.6,11.57
KEY,8.3,7.95
KFT,25.9,26.15
KG,9.33,9.29
KIM,12.23,13.93
KLAC,17.96,18.12
KMB,55.73,57.13
KO,45.02,43.93
KR,27.38,26.81
KSS,29.31,30.7
LEG,13.57,14.04
LEH,53.51,55.57
LEN,6.66,7.3
LH,60.21,59.42
LIZ,2.55,2.35
LLL,64.81,66.15
LLTC,18.85,18.86
LLY,31.54,33.19
LM,15.55,17.0
LMT,72.13,73.63
LNC,12.26,11.89
LOW,19.35,19.75
LSI,2.55,2.57
LTD,7.88,8.07
LTR,42.95,43.68
LUK,17.1,18.23
LUV,8.06,8.33
LXK,25.67,24.59
M,6.54,7.0
MAR,15.24,15.99
MAS,8.69,9.14
MAT,12.75,13.42
MBI,5.24,5.59
MCD,56.87,57.05
MCHP,17.5,17.48
MCK,32.43,32.98
MCO,18.48,20.39
MDP,15.53,16.16
MDT,29.32,29.3
MER,10.63,11.56
MET,25.43,23.42
MHP,22.8,23.05
MHS,38.94,38.99
MI,12.28,13.16
MIL,49.36,50.33
MKC,29.13,29.16
MMC,23.35,24.78
MMM,60.7,60.86
MNST,28.07,28.48
MO,15.51,15.09
MOLX,12.62,12.79
MON,71.12,73.86
MOT,4.47,4.27
MRK,25.87,26.68
MRO,24.06,24.02
MS,11.51,12.04
MSFT,18.99,19.15
MTB,56.67,59.84
MTG,14.99,15.98
MTW,6.85,7.42
MU,2.3,2.09
MUR,41.25,40.93
MWV,10.88,11.07
MYL,8.95,9.36
NBL,45.19,46.34
NBR,12.45,12.1
NCC,1.7,1.69
NE,23.08,23.12
NEM,31.06,32.26
NI,11.18,11.29
NKE,48.69,50.01
NOC,39.14,39.21
NOV,23.98,23.26
NOVL,4.24,4.18
NSC,46.41,47.62
NSM,10.91,10.54
NTAP,12.39,12.78
NTRS,40.6,42.62
NUE,32.47,32.68
NVDA,7.0,7.21
NVLS,11.72,11.62
NWL,12.14,12.59
NWS.A,7.15,7.6
NYT,7.05,7.19
NYX,20.34,21.4
ODP,1.93,1.88
OMC,26.69,26.34
OMX,23.64,23.22
ORCL,15.7,15.79
OXY,48.12,47.33
PAYX,26.35,26.64
PBG,17.01,17.09
PBI,22.69,23.45
PCAR,25.3,26.39
PCG,37.19,36.82
PCL,32.78,34.44
PCP,57.79,58.12
PDCO,18.32,19.07
PEG,28.6,29.5
PEP,54.51,54.45
PFE,15.68,16.02
PFG,12.28,13.91
PG,61.6,61.44
PGN,37.99,38.48
PGR,14.01,13.64
PH,37.52,37.56
PHM,9.52,9.82
PKI,16.73,16.59
PLD,3.0,3.2
PLL,25.48,26.22
PNC,44.38,43.26
PNW,29.05,29.08
POM,16.89,17.22
PPG,40.16,41.8
PPL,30.99,31.38
PRU,17.89,19.11
PSA,58.36,64.78
PTV,23.34,23.74
PX,53.19,55.18
Q,3.06,2.99
QCOM,30.66,30.54
QLGC,10.27,10.51
R,34.02,34.52
RAI,40.68,41.15
RDC,14.47,14.9
RF,8.85,9.25
RHI,19.21,19.42
RIG,58.26,55.38
RL,39.93,40.71
ROH,71.5,71.3
ROK,27.64,28.35
RRC,37.89,37.04
RRD,11.74,12.51
RSH,9.11,9.49
RTN,46.7,48.9
RX,12.96,12.97
S,2.34,2.66
SAF,47.64,47.95
