A,32.08,32.37
AA,39.22,41.61
AAPL,185.12,188.16
ABC,41.18,41.23
ABI,33.86,33.82
ABK,4.35,4.33
ABT,52.01,52.78
ACAS,31.6,32.42
ACE,60.12,60.72
ACS,53.06,54.47
ADBE,39.83,40.44
ADI,34.2,34.2
ADM,43.0,43.28
ADP,42.9,43.78
ADSK,39.25,39.67
AEE,45.92,46.25
AEP,43.9,44.08
AES,19.27,19.5
AET,43.28,43.6
AFL,65.85,67.0
AGN,53.25,52.78
AIG,40.04,38.37
AIV,38.22,39.53
AIZ,64.58,65.81
AKAM,37.16,37.94
ALL,49.41,49.69
ALTR,22.46,22.89
AMAT,19.29,19.87
AMD,6.98,7.16
AMGN,41.95,42.95
AMP,48.37,50.08
AMT,43.57,44.5
AMZN,73.1,74.53
AN,16.08,16.67
ANF,73.73,75.03
AOC,46.33,46.78
APA,133.6,134.05
APC,75.8,76.55
APD,98.0,99.54
APOL,47.8,48.32
ASH,56.1,57.38
ATI,75.38,75.7
AVB,100.25,101.73
AVP,39.58,39.23
AVY,49.46,49.52
AW,12.43,12.61
AXP,49.28,49.95
AYE,51.2,50.96
AZO,122.62,125.77
BA,84.4,84.8
BAC,36.82,37.44
BAX,61.18,61.67
BBBY,32.29,33.51
BBT,34.22,35.3
BBY,42.12,43.67
BC,16.22,16.5
BCR,91.71,92.3
BDK,66.8,67.12
BDX,86.9,88.2
BEN,100.21,102.48
BF.B,71.05,72.25
BHI,80.3,80.67
BIG,27.62,28.43
BIIB,62.29,63.05
BJS,29.89,29.22
BK,43.15,44.27
BLL,53.85,54.57
BMC,35.41,35.82
BMS,26.97,27.15
BMY,21.9,21.63
BNI,103.85,105.17
BRCM,26.18,26.66
BRL,40.1,40.05
BSC,10.22,10.38
BSX,13.43,13.41
BTU,68.08,68.8
BUD,50.92,51.61
BXP,98.14,99.49
C,23.72,23.64
CA,22.72,23.1
CAG,22.95,22.97
CAH,54.15,54.49
CAM,52.33,51.41
CAT,82.23,83.82
CB,52.98,53.61
CBE,43.27,44.0
CBG,22.12,22.5
CBH,37.67,38.01
CBS,24.56,24.77
CC,4.76,4.87
CCE,21.5,21.32
CCL,40.15,40.72
CCU,30.29,32.87
CEG,81.6,82.42
CELG,62.5,61.73
CFC,4.7,4.79
CHK,56.0,55.96
CHRW,63.93,64.92
CI,41.3,40.91
CIEN,32.37,33.43
CINF,35.15,35.56
CIT,11.73,12.1
CL,71.25,71.01
CLX,55.97,55.84
CMA,39.1,39.69
CMCSA,21.71,22.04
CME,462.28,465.1
CMI,67.03,68.01
CMS,15.03,15.33
CNP,15.35,15.5
CNX,90.6,91.76
COF,53.12,53.92
COH,34.35,34.86
COL,63.08,63.88
COP,88.48,88.59
COST,71.69,73.68
COV,48.71,48.5
CPB,35.4,35.78
CPWR,7.99,8.09
CSC,43.7,47.44
CSCO,25.48,25.84
CSX,63.53,63.99
CTAS,29.97,30.19
CTL,35.45,35.57
CTSH,29.74,30.17
CTX,21.34,21.98
CTXS,34.0,34.08
CVG,15.29,15.69
CVH,44.33,44.23
CVS,41.36,41.19
CVX,97.2,97.36
CZN,10.7,10.6
D,45.18,45.3
DD,48.66,49.58
DDR,40.91,41.76
DDS,18.89,19.4
DE,87.5,89.37
DELL,18.94,19.37
DF,23.22,22.89
DFS,17.57,17.99
DGX,50.17,50.26
DHI,14.83,15.15
DHR,77.6,78.41
DIS,34.15,34.77
DOV,51.77,52.96
DOW,41.26,41.77
DRI,35.8,36.91
DTE,42.69,42.85
DTV,26.81,27.48
DUK,18.54,18.71
DVN,114.6,116.28
DYN,9.0,8.89
EBAY,30.23,31.12
ECL,44.98,45.03
ED,41.57,41.5
EDS,18.95,24.13
EFX,37.8,38.46
EIX,51.73,52.58
EK,17.23,17.05
EL,48.04,48.75
EMC,16.0,16.09
EMN,71.94,72.66
EMR,54.43,56.2
EOG,137.9,136.0
EP,19.5,19.79
EQ,43.49,44.19
EQR,41.84,43.47
ERTS,52.92,54.27
ESRX,70.64,71.46
ESV,67.72,67.82
ETFC,3.9,4.0
ETN,85.8,87.23
ETR,114.35,115.7
EXC,82.99,84.25
EXPD,46.92,47.96
EXPE,24.03,24.61
F,8.17,8.15
FCX,113.31,114.66
FDO,21.68,22.08
FDX,87.9,90.5
FE,76.39,76.47
FHN,10.28,10.29
FII,35.02,35.87
FIS,37.01,37.53
FISV,51.34,52.05
FITB,20.89,21.26
FLR,165.46,166.36
FNM,28.01,28.25
FO,68.9,69.84
FPL,65.18,65.7
FRE,25.02,25.9
FRX,33.91,34.2
GAS,38.72,39.22
GCI,29.47,30.07
GD,90.99,92.6
GE,32.33,32.4
GENZ,69.39,68.98
GGP,41.23,42.52
GILD,53.41,54.48
GIS,60.99,61.27
GLW,26.13,26.09
GM,20.37,20.76
GME,51.72,54.1
GNW,22.73,23.13
GOOG,574.75,584.94
GPC,43.3,43.67
GPS,17.99,18.43
GR,67.38,67.47
GS,189.45,192.08
GT,27.94,28.23
GWW,86.5,87.93
HAL,47.8,47.44
HAR,38.53,39.19
HAS,35.59,36.12
HBAN,9.17,9.32
HCBK,18.56,18.66
HD,28.01,28.64
HES,115.49,115.2
HIG,68.4,69.28
HNZ,47.74,48.58
HOG,38.23,39.03
HON,59.63,59.98
HOT,52.31,53.16
HPC,19.4,19.93
HPQ,49.39,46.83
HRB,23.42,24.01
HSP,40.8,40.9
HST,17.36,17.96
HSY,37.09,37.2
HUM,45.36,44.31
IACI,21.55,22.38
IBM,123.82,125.24
ICE,156.98,158.57
IFF,42.41,42.5
IGT,35.15,35.29
INTC,23.4,23.64
INTU,26.89,27.59
IP,25.89,26.11
IPG,9.68,10.1
IR,42.56,43.86
ITT,65.04,66.58
ITW,53.15,53.75
JAVA,13.0,13.3
JBL,10.91,11.4
JCI,34.15,34.48
JCP,43.06,44.23
JDSU,11.32,11.41
JEC,86.56,88.92
JNJ,66.73,66.71
JNPR,27.32,27.71
JNS,28.61,29.58
JNY,16.91,17.25
JPM,46.82,47.24
JWN,34.53,35.7
K,50.9,51.35
KBH,23.78,24.28
KEY,24.1,24.58
KFT,31.43,31.36
KG,9.63,9.62
KIM,39.75,40.79
KLAC,43.87,44.21
KMB,62.6,62.65
KO,56.18,56.4
KR,26.41,27.18
KSS,47.78,49.07
LEG,16.32,16.36
LEH,43.81,44.72
LEN,18.34,18.57
LH,77.38,77.73
LIZ,18.1,18.37
LLL,107.77,108.86
LLTC,36.3,36.5
LLY,48.4,48.76
LM,55.36,55.86
LMT,105.84,106.97
LNC,53.08,54.15
LOW,24.31,24.69
LSI,6.78,6.7
LTD,18.12,18.8
LTR,46.5,47.94
LUK,54.12,53.17
LUV,13.02,13.3
LXK,33.86,33.8
M,23.27,23.97
MAR,35.82,36.8
MAS,18.34,18.58
MAT,19.06,19.34
MBI,9.35,9.85
MCD,59.3,60.87
MCHP,36.65,37.05
MCK,57.29,57.84
MCO,39.29,40.99
MDP,34.44,34.43
MDT,47.82,48.15
MER,48.39,49.15
MET,60.36,62.05
MHP,41.0,41.49
MHS,49.52,49.78
MI,25.07,25.59
MIL,70.45,71.19
MKC,36.92,37.39
MMC,27.33,28.27
MMM,76.67,77.67
MNST,26.66,27.67
MO,20.95,21.58
MOLX,29.11,29.33
MON,119.81,121.82
MOT,9.8,9.9
MRK,39.01,39.62
MRO,52.6,53.34
MS,46.41,47.65
MSFT,29.35,29.99
MTB,91.85,93.34
MTG,12.45,12.55
MTW,41.01,42.18
MU,8.41,8.32
MUR,83.77,84.24
MWV,25.66,25.91
MYL,11.42,11.59
NBL,96.38,96.82
NBR,39.25,38.6
NCC,5.95,5.95
NE,61.87,61.83
NEM,45.52,45.26
NI,17.82,18.01
NKE,64.95,65.34
NOC,74.71,74.92
NOV,77.14,76.05
NOVL,6.36,6.38
NSC,62.19,63.38
NSM,20.59,20.5
NTAP,26.29,25.65
NTRS,73.46,75.84
NUE,78.79,81.34
NVDA,22.82,21.89
NVLS,22.02,22.1
NWL,20.1,20.19
NWS.A,18.84,18.66
NYT,19.61,19.57
NYX,71.52,71.45
ODP,13.08,13.37
OMC,48.42,49.16
OMX,19.23,19.6
ORCL,21.12,21.51
OXY,87.29,88.01
PAYX,36.14,36.6
PBG,32.72,32.97
PBI,37.71,37.15
PCAR,47.74,48.82
PCG,40.43,40.65
PCL,41.79,42.97
PCP,124.26,124.82
PDCO,35.78,35.53
PEG,42.25,42.24
PEP,67.55,67.35
PFE,19.85,19.91
PFG,53.61,55.51
PG,65.43,65.35
PGN,41.8,42.14
PGR,17.94,18.0
PH,83.91,84.72
PHM,13.05,13.38
PKI,27.2,27.34
PLD,62.15,63.85
PLL,35.7,36.46
PNC,67.4,68.06
PNW,33.76,34.25
POM,25.67,25.81
PPG,62.47,63.0
PPL,48.03,48.24
PRU,72.65,75.23
PSA,83.01,87.01
PTV,24.09,24.61
PX,92.89,94.09
Q,4.78,4.8
QCOM,43.71,44.63
QLGC,15.46,15.55
R,70.79,72.55
RAI,53.93,54.56
RDC,41.48,41.12
RF,21.27,21.74
RHI,24.6,25.26
RIG,152.16,148.42
RL,59.87,60.6
ROH,54.25,54.99
ROK,54.02,55.44
RRC,70.03,69.53
RRD,31.3,31.35
RSH,15.09,15.16
RTN,63.96,64.08
RX,24.2,24.23
S,9.11,9.24
SAF,66.86,66.95
SBUX,15.9,16.04
SCHW,21.53,22.48
SE,27.15,26.97
SEE,24.12,24.33
SGP,18.74,18.75
SHLD,93.17,94.69
SHW,56.5,57.31
SIAL,57.77,58.88
SII,80.63,81.24
SLB,104.44,103.45
SLE,13.66,13.7
SLM,21.75,21.88
SNA,58.51,59.28
SNDK,29.23,29.27
SO,36.4,36.87
SOV,7.54,8.18
SPG,101.21,101.31
SPLS,21.5,21.96
SRE,57.41,57.89
SSP,46.36,47.25
STI,55.84,56.77
STJ,40.73,41.5
STR,65.17,64.98
STT,72.0,74.67
STZ,18.1,18.82
SUN,43.66,45.87
SVU,33.16,33.95
SWK,48.93,49.17
SWY,30.78,31.2
SYK,64.37,64.38
SYMC,19.86,20.1
SYY,30.46,30.91
T,38.61,39.11
TAP,56.0,57.06
TDC,23.57,23.89
TE,19.03,18.99
TEG,49.41,50.07
TEL,38.17,38.33
TER,13.74,13.84
TEX,71.63,72.55
TGT,52.37,53.48
THC,5.7,5.73
TIE,17.37,17.22
TIF,42.7,43.82
TJX,31.15,32.14
TLAB,5.41,5.45
TMK,63.08,64.1
TMO,56.3,57.15
TROW,61.25,62.87
TRV,50.21,51.22
TSN,17.5,17.78
TSO,22.38,24.15
TSS,24.37,24.63
TT,46.12,46.53
TWX,15.92,16.04
TXN,29.85,29.93
TXT,61.1,61.53
TYC,44.22,44.67
UIS,4.06,4.21
UNH,33.18,32.78
UNM,23.79,24.09
UNP,146.62,147.65
UPS,69.8,70.42
USB,33.7,34.2
UST,52.07,52.63
UTX,73.17,74.57
VAR,46.09,45.39
VFC,73.96,75.59
VIA.B,38.54,38.9
VLO,45.06,47.03
VMC,66.89,70.51
VNO,93.4,95.53
VRSN,37.83,37.96
VZ,38.02,38.06
WAG,35.13,35.5
WAT,63.49,63.99
WB,27.76,28.22
WEN,26.59,26.68
WFC,29.5,29.76
WFMI,32.9,33.75
WFR,64.43,67.44
WFT,85.48,84.74
WHR,72.25,74.77
WIN,12.93,12.72
WLP,52.3,52.52
WM,10.54,10.25
WMB,36.49,36.65
WMI,36.6,36.9
WMT,57.69,58.02
WPI,27.72,28.32
WPO,648.0,652.75
WU,23.07,23.1
WWY,76.6,77.4
WY,62.97,64.15
WYE,44.12,44.88
WYN,22.99,23.43
X,171.31,171.78
XEL,21.25,21.32
XL,34.1,34.44
XLNX,25.85,26.34
XOM,88.47,89.19
XRX,14.24,14.3
XTO,64.2,63.62
YHOO,25.83,25.26
YUM,39.76,40.6
ZION,45.28,45.75
ZMH,69.73,69.56
HCP,34.57,35.23
PM,51.98,52.47
ISRG,289.0,280.91
SWN,46.84,45.98
COG,67.75,65.03
L,48.7,49.0
LO,70.84,68.83
MEE,94.31,91.1
AKS,65.86,56.65
SNI,39.85,41.75
DVA,56.21,56.14
FTR,11.59,11.43
MA,240.47,237.27
IVZ,25.41,24.89
CF,146.93,138.02
CRM,55.75,52.37
FAST,53.45,52.4
HRS,48.0,47.14
PXD,54.51,50.92
APH,34.25,34.13
FLS,69.15,67.79
DPS,22.66,23.79
CEPH,72.01,76.09
NDAQ,32.48,31.37
PBCT,17.55,17.17
SJM,44.85,45.18
WEC,43.15,42.84
WYNN,60.74,51.59
XRAY,30.4,31.53
MWW,12.19,11.62
LIFE,22.1,23.89
SRCL,55.58,56.15
DNB,73.45,71.56
EQT,31.7,30.71
MFE,33.6,33.18
RSG,23.49,23.42
NWSA,8.42,8.75
FLIR,30.34,31.76
IRM,24.62,24.79
OI,27.29,27.27
